Fecha_publicación;CCAA;Pfizer;Moderna;AstraZeneca;Janssen;Personas_pauta_completa
04/01/2021;Andalucía;140295;0;0;0;0
04/01/2021;Aragón;23715;0;0;0;0
04/01/2021;Asturias;23720;0;0;0;0
04/01/2021;Baleares;8940;0;0;0;0
04/01/2021;Canarias;20835;0;0;0;0
04/01/2021;Cantabria;11850;0;0;0;0
04/01/2021;Castilla y Leon;51390;0;0;0;0
04/01/2021;Castilla La Mancha;35550;0;0;0;0
04/01/2021;Cataluña;120545;0;0;0;0
04/01/2021;C Valenciana;61225;0;0;0;0
04/01/2021;Extremadura;21725;0;0;0;0
04/01/2021;Galicia;37555;0;0;0;0
04/01/2021;La Rioja;5915;0;0;0;0
04/01/2021;Madrid;89040;0;0;0;0
04/01/2021;Murcia;25685;0;0;0;0
04/01/2021;Navarra;6975;0;0;0;0
04/01/2021;País Vasco;31605;0;0;0;0
04/01/2021;Ceuta;1005;0;0;0;0
04/01/2021;Melilla;1005;0;0;0;0
04/01/2021;España;718575;0;0;0;0
05/01/2021;Andalucía;140295;0;0;0;0
05/01/2021;Aragón;23715;0;0;0;0
05/01/2021;Asturias;23720;0;0;0;0
05/01/2021;Baleares;12840;0;0;0;0
05/01/2021;Canarias;27660;0;0;0;0
05/01/2021;Cantabria;11850;0;0;0;0
05/01/2021;Castilla y Leon;51390;0;0;0;0
05/01/2021;Castilla La Mancha;35550;0;0;0;0
05/01/2021;Cataluña;120545;0;0;0;0
05/01/2021;C Valenciana;61225;0;0;0;0
05/01/2021;Extremadura;21725;0;0;0;0
05/01/2021;Galicia;37555;0;0;0;0
05/01/2021;La Rioja;5915;0;0;0;0
05/01/2021;Madrid;98790;0;0;0;0
05/01/2021;Murcia;25685;0;0;0;0
05/01/2021;Navarra;11850;0;0;0;0
05/01/2021;País Vasco;31605;0;0;0;0
05/01/2021;Ceuta;1005;0;0;0;0
05/01/2021;Melilla;1005;0;0;0;0
05/01/2021;España;743925;0;0;0;0
07/01/2021;Andalucía;140295;0;0;0;0
07/01/2021;Aragón;23715;0;0;0;0
07/01/2021;Asturias;23720;0;0;0;0
07/01/2021;Baleares;12840;0;0;0;0
07/01/2021;Canarias;27660;0;0;0;0
07/01/2021;Cantabria;11850;0;0;0;0
07/01/2021;Castilla y Leon;51390;0;0;0;0
07/01/2021;Castilla La Mancha;35550;0;0;0;0
07/01/2021;Cataluña;120545;0;0;0;0
07/01/2021;C Valenciana;61225;0;0;0;0
07/01/2021;Extremadura;21725;0;0;0;0
07/01/2021;Galicia;37555;0;0;0;0
07/01/2021;La Rioja;5915;0;0;0;0
07/01/2021;Madrid;98790;0;0;0;0
07/01/2021;Murcia;25685;0;0;0;0
07/01/2021;Navarra;11850;0;0;0;0
07/01/2021;País Vasco;31605;0;0;0;0
07/01/2021;Ceuta;1005;0;0;0;0
07/01/2021;Melilla;1005;0;0;0;0
07/01/2021;España;743925;0;0;0;0
08/01/2021;Andalucía;140295;0;0;0;0
08/01/2021;Aragón;23715;0;0;0;0
08/01/2021;Asturias;23720;0;0;0;0
08/01/2021;Baleares;12840;0;0;0;0
08/01/2021;Canarias;27660;0;0;0;0
08/01/2021;Cantabria;11850;0;0;0;0
08/01/2021;Castilla y Leon;51390;0;0;0;0
08/01/2021;Castilla La Mancha;35550;0;0;0;0
08/01/2021;Cataluña;120545;0;0;0;0
08/01/2021;C Valenciana;61225;0;0;0;0
08/01/2021;Extremadura;21725;0;0;0;0
08/01/2021;Galicia;37555;0;0;0;0
08/01/2021;La Rioja;5915;0;0;0;0
08/01/2021;Madrid;98790;0;0;0;0
08/01/2021;Murcia;25685;0;0;0;0
08/01/2021;Navarra;11850;0;0;0;0
08/01/2021;País Vasco;31605;0;0;0;0
08/01/2021;Ceuta;1005;0;0;0;0
08/01/2021;Melilla;1005;0;0;0;0
08/01/2021;España;743925;0;0;0;0
11/01/2021;Andalucía;140295;0;0;0;0
11/01/2021;Aragón;23715;0;0;0;0
11/01/2021;Asturias;23720;0;0;0;0
11/01/2021;Baleares;12840;0;0;0;0
11/01/2021;Canarias;27660;0;0;0;0
11/01/2021;Cantabria;11850;0;0;0;0
11/01/2021;Castilla y Leon;51390;0;0;0;0
11/01/2021;Castilla La Mancha;35550;0;0;0;0
11/01/2021;Cataluña;120545;0;0;0;0
11/01/2021;C Valenciana;61225;0;0;0;0
11/01/2021;Extremadura;21725;0;0;0;0
11/01/2021;Galicia;37555;0;0;0;0
11/01/2021;La Rioja;5915;0;0;0;0
11/01/2021;Madrid;98790;0;0;0;0
11/01/2021;Murcia;25685;0;0;0;0
11/01/2021;Navarra;11850;0;0;0;0
11/01/2021;País Vasco;31605;0;0;0;0
11/01/2021;Ceuta;1005;0;0;0;0
11/01/2021;Melilla;1005;0;0;0;0
11/01/2021;España;743925;0;0;0;0
12/01/2021;Andalucía;140295;0;0;0;0
12/01/2021;Aragón;23715;0;0;0;0
12/01/2021;Asturias;23720;0;0;0;0
12/01/2021;Baleares;12840;0;0;0;0
12/01/2021;Canarias;27660;0;0;0;0
12/01/2021;Cantabria;11850;0;0;0;0
12/01/2021;Castilla y Leon;51390;0;0;0;0
12/01/2021;Castilla La Mancha;35550;0;0;0;0
12/01/2021;Cataluña;120545;0;0;0;0
12/01/2021;C Valenciana;61225;0;0;0;0
12/01/2021;Extremadura;21725;0;0;0;0
12/01/2021;Galicia;37555;0;0;0;0
12/01/2021;La Rioja;5915;0;0;0;0
12/01/2021;Madrid;98790;0;0;0;0
12/01/2021;Murcia;25685;0;0;0;0
12/01/2021;Navarra;11850;0;0;0;0
12/01/2021;País Vasco;31605;0;0;0;0
12/01/2021;Ceuta;1005;0;0;0;0
12/01/2021;Melilla;1005;0;0;0;0
12/01/2021;España;743925;0;0;0;0
13/01/2021;Andalucía;209520;0;0;0;0
13/01/2021;Aragón;35415;0;0;0;0
13/01/2021;Asturias;35420;0;0;0;0
13/01/2021;Baleares;12840;0;0;0;0
13/01/2021;Canarias;41310;0;0;0;0
13/01/2021;Cantabria;17700;0;0;0;0
13/01/2021;Castilla y Leon;76740;0;0;0;0
13/01/2021;Castilla La Mancha;53100;0;0;0;0
13/01/2021;Cataluña;180020;0;0;0;0
13/01/2021;C Valenciana;91450;0;0;0;0
13/01/2021;Extremadura;32450;0;0;0;0
13/01/2021;Galicia;56080;0;0;0;0
13/01/2021;La Rioja;8840;0;0;0;0
13/01/2021;Madrid;147540;0;0;0;0
13/01/2021;Murcia;38360;0;0;0;0
13/01/2021;Navarra;17700;0;0;0;0
13/01/2021;País Vasco;47205;0;0;0;0
13/01/2021;Ceuta;1005;0;0;0;0
13/01/2021;Melilla;1005;0;0;0;0
13/01/2021;España;1103700;0;0;0;0
14/01/2021;Andalucía;209520;6800;0;0;0
14/01/2021;Aragón;35415;1200;0;0;0
14/01/2021;Asturias;35420;1200;0;0;0
14/01/2021;Baleares;12840;600;0;0;0
